Rank,Variable,Mean absolute SHAP,HSLS variable description,Feature dimension
270,X2TXMTH,0.006135110944021052,"The math theta score represents the student's ability level on a continuous scale. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). When the score is not available, X2TXMTH1-5 are created as the multiple imputation values for X2TXMTH. X2TXMTH is the mean of X2TXMTH1-5. The standard error of measurement for the theta score is X2TXMSEM. The standardized form of the mathematics theta score is X2TXMTSCOR. See Chapter 2 of the HSLS:09 F1 Data File Documentation (NCES 2014-361) for more information on the derivation of the math theta score. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 4.5046 -0.3623 3.0663",Academic performance/preparation
271,X3T1CREDBIOL,0.005950705136716428,"Indicates at least one Carnegie unit in Biology, which is the course SCED code(s): 03051, 03062, 03053, 03054, 03055, 03058, 03059, 03060, 03061, 03063, 03097, 03098, 03099, 03052, 03056, 03057. A Carnegie unit is equivalent to a one-year academic course taken one period a day, five days a week.",Academic performance/preparation
272,X2WHITE,0.005935733416023023,"The sample member's race/ethnicity is characterized by a series of six dichotomous composite variables (the student is/is not white, the student is/is not black, etc.). The six dichotomous composite race/ethnicity variables are X2HISPANIC, X2WHITE, X2BLACK, X2ASIAN, X2PACISLE, and X2AMINDIAN. Each of these dichotomous composites is pulled from the base year composite when not imputed, otherwise it is based on data from the F1 student questionnaire; if still missing, they are based on the presence of the race/ethnicity from the F1 parent questionnaire (if parent questionnaire data includes race/ethnicity information for biological parents). The six dichotomous race/ethnicity composites are then used in conjunction to produce the summary race/ethnicity composite X2RACE.",Demographic/SES controls
273,S1SREASLIKE,0.005839868149092113,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",Career interests and aspirations
274,P1LEARN,0.005600347768967477,"Compared with other 9th graders, would you say [your 9th-grader] experiences a lot, a little, or no difficulty in the following areas? Learning, understanding, or paying attention A lot of difficulty A little difficulty No difficulty",Behavioral/psychological factors
275,S2COMPPROG12,0.005573841560863205,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Computer Programming 0=No 1=Yes",Academic performance/preparation
276,S2MSPR12,0.005573248040062372,[Are you currently/Were you] taking a math course [during the spring term of 2012?] 1=Yes 0=No,Academic performance/preparation
277,S1SUREHSGRAD,0.005498220747266444,How sure are you that you will graduate from high school? Very sure you'll graduate You'll probably graduate You probably won't graduate Very sure you won't graduate,Academic performance/preparation
278,X1BLACK,0.005465066740898321,"The sample member's race/ethnicity is characterized by a series of six dichotomous composite variables (the student is/is not white, the student is/is not black, etc.). The six dichotomous composite race/ethnicity variables are X1HISPANIC, X1WHITE, X1BLACK, X1ASIAN, X1PACISLE, and X1AMINDIAN. Each of these dichotomous composites is based on data from the student questionnaire; if missing from the student questionnaire, they are based on the presence of the race/ethnicity from the school-provided sampling roster; if still missing, they are based on the presence of the race/ethnicity from the parent questionnaire (if parent questionnaire data includes race/ethnicity information for biological parents) ; if still missing, they are based on the presence of another race/ethnicity on the school-provided sampling roster (to set values to ""No""). The six dichotomous race/ethnicity composites are then used in conjunction to produce the summary race/ethnicity composite X1RACE.",Demographic/SES controls
279,S2MCLGADM,0.00533235022557648,Why [are/were] you taking [math course title] ? Would you say you [are/were] taking it because... you will need it to get into college? 1=Yes 0=No,Academic performance/preparation
280,S2MFAMREC,0.005047258176864715,Why [are/were] you taking [math course title] ? Would you say you [are/were] taking it because... another family member encouraged you to take it? 1=Yes 0=No,Academic performance/preparation
281,S2GEOM12,0.0050200960815160725,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Geometry 0=No 1=Yes,Academic performance/preparation
282,S2APCHEM12,0.004876900112834515,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Advanced Placement (AP) Chemistry 0=No 1=Yes",Academic performance/preparation
283,X1DADRACE,0.004696539653230394,"For sample members who have a biological, adoptive, or step father living in their household, X1DADRACE characterizes the race/ethnicity of that biological, adoptive, or step father. X1DADRACE is derived from four composite variables (X1P1RELATION, X1P2RELATION, X1PAR1RACE, and X1PAR2RACE). ""Amer. Indian/Alaska Native, non-Hispanic"" and ""Native Hawaiian/Pacific Islander, non-Hispanic"" recoded as ""Other, non-Hispanic"" on the public use file.",Demographic/SES controls
284,S2SSKILLS,0.004644732384691382,How much do you agree or disagree with the following statements about [science course title/science]? [You [are/were] certain that you [can/could] master the skills [being taught/that were taught] in this course./You are certain that you can master science skills.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,Academic performance/preparation
285,P1ABLEBA,0.004612531357366793,"Whatever [your 9th-grader]'s plans, do you think [he/she] has the ability to complete a Bachelor's degree? Would you say� definitely probably probably not or definitely not?",Academic performance/preparation
286,S2MCNSLREC,0.004591219634817526,Why [are/were] you taking [math course title] ? Would you say you [are/were] taking it because... a high school counselor suggested you take it? 1=Yes 0=No,Academic performance/preparation
287,S2FOCUS2013,0.0045776078171922184,What is most likely to be your main focus? 1=Continuing your education after high school 2=Working 3=Serving in the military 4=Starting a family or taking care of your children 6=Attending high school or a GED completion course,Academic performance/preparation
288,P1PERFORM,0.004551690728083538,"During the last school year (2008-2009), how many times were you or another family member contacted by the school about [your 9th-grader]'s� poor academic performance? Never Once or twice Three or four times More than four times",Academic performance/preparation
289,X2SESQ5,0.004541592676100026,"This variable is the quintile of X2SES, weighted using the student weight (W2STUDENT). For more information on this variable, please refer to section 7.3.2.2 of the HSLS:09 F1 Data File Documentation (NCES 2014-361).",Demographic/SES controls
290,S2SCLGADM,0.004417214478204567,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... you will need it to get into college? 1=Yes 0=No,Academic performance/preparation
291,X2SES1,0.0042258749934109005,"This variable contains the imputed value (1 of 5) for X2SES, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES is the mean of X2SES1-X2SES5. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.5097 -0.8077 2.6294",Demographic/SES controls
292,X2POVERTY130,0.00408782894279322,"X2POVERTY130 indicates whether the sample member's family was at/above or below 130% of the 2011 poverty threshold, as set forth by the U.S. Census Bureau. Both family income and household size are considered when calculating whether a family is at/above or below 130% of the poverty threshold. If X2FAMINCOME or X2HHNUMBER are imputed, then the imputation flag for the poverty variables (X2POVERTY_IM) is set to 2. Unit nonresponse for this composite is less than the set of F1 student nonrespondents (X2SQSTAT>7) due to inclusion of parent data for student nonrespondents and questionnaire incapables. The additional parent data are available for use with the W2PARENT weight. See https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html for further detail on 2011 poverty thresholds.",Demographic/SES controls
293,X2TXMTSCOR,0.004044657097984454,"The math standardized T score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated percent-correct score which represents status with respect to achievement on a particular criterion set of test items). The standardized T score is a transformation of the IRT theta (ability) estimate, rescaled to a mean of 50 and standard deviation of 10. An advantage of the standardized score over the raw theta score is that it facilitates comparisons in standard deviation units. See Chapter 2 of the HSLS:09 F1 Data File Documentation (NCES 2014-361) for more information on the derivation of the math T score. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 84.9051 44.1365 21.7789",Academic performance/preparation
294,S1SREASTCHR,0.003868359060905699,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",Career interests and aspirations
295,X1HISPANIC,0.0038379917576727026,"The sample member's race/ethnicity is characterized by a series of six dichotomous composite variables (the student is/is not white, the student is/is not black, etc.). The six dichotomous composite race/ethnicity variables are X1HISPANIC, X1WHITE, X1BLACK, X1ASIAN, X1PACISLE, and X1AMINDIAN. Each of these dichotomous composites is based on data from the student questionnaire; if missing from the student questionnaire, they are based on the presence of the race/ethnicity from the school-provided sampling roster; if still missing, they are based on the presence of the race/ethnicity from the parent questionnaire (if parent questionnaire data includes race/ethnicity information for biological parents); if still missing, they are based on the presence of another race/ethnicity on the school-provided sampling roster (to set values to ""No""). The six dichotomous race/ethnicity composites are then used in conjunction to produce the summary race/ethnicity composite X1RACE.",Demographic/SES controls
296,P1SLD,0.00374357450573885,"Has a doctor, health care provider, teacher, or school official ever told you that [your 9th-grader] has any of the following conditions? Specific learning disability Yes No",Academic performance/preparation
297,S1SREASNOT,0.0037134306649630323,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",Career interests and aspirations
298,P1HELPPAY,0.003671552622987398,Do you or does anyone in your family plan to help [your 9th-grader] pay for [his/her] education after high school? Yes No You have not thought about this yet,Academic performance/preparation
299,S1MPARENT,0.0035511812126939784,"Why are you taking [fall 2009 math course] ? [If late December or later add: (If you are no longer taking this course, think back to the fall when you answer this question and the questions that follow.)] (Check all that appply.) You really enjoy math You like to be challenged You had no choice, it is a school requirement The school counselor suggested you take it Your parent(s) encouraged you to take it A teacher encouraged you to take it There were no other math courses offered You will need it to get into college You will need it to succeed in college You will need it for your career It was assigned to you Some other reason You don't know why you are taking this course",Career interests and aspirations
300,X2POVERTY185,0.0035268808764807795,"X2POVERTY185 indicates whether the sample member's family was at/above or below 185% of the 2011 poverty threshold, as set forth by the U.S. Census Bureau. Both family income and household size are considered when calculating whether a family is at/above or below 185% of the poverty threshold. If X2FAMINCOME or X2HHNUMBER are imputed, then the imputation flag for the poverty variables (X2POVERTY_IM) is set to 1. Unit nonresponse for this composite is less than the set of F1 student nonrespondents (X2SQSTAT>7) due to inclusion of parent data for student nonrespondents and questionnaire incapables. The additional parent data are available for use with the W2PARENT weight. See https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html for further detail on 2011 poverty thresholds.",Demographic/SES controls
301,S2PHYSIC1S12,0.0034141385818406964,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Physics I 0=No 1=Yes",Academic performance/preparation
302,S1MOMTALKM,0.003379525664953226,"Since the beginning of the last school year (2008-2009), which of the following people have you talked with about which math courses to take this year? (Check all that apply.) Your mother or female guardian Your father or male guardian Your friends A favorite teacher A school counselor None of these people",Academic performance/preparation
303,S2CANTSEND,0.0033791252333408473,"Which of the following are reasons you [do not/did not] spend more time studying? Even if you [get/got] better grades, your family [cannot afford/could not have afforded] to send you to school or college. 1=Yes 0=No Administered To: Respondents who thought they could earn better grades by spending more time studying.",Academic performance/preparation
304,S2COMPAPP12,0.0033115054109615375,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Computer Applications 0=No 1=Yes",Academic performance/preparation
305,S1SCAREER,0.0031569622963026137,"Why are you taking [fall 2009 science course]? [If late December or later add: (If you are no longer taking this course, think back to the fall when you answer this question and the questions that follow.)] (Check all that apply.) You really enjoy science You like to be challenged You had no choice, it is a school requirement The school counselor suggested you take it Your parent(s) encouraged you to take it A teacher encouraged you to take it There were no other science courses offered You will need it to get into college You will need it to succeed in college You will need it for your career It was assigned to you Some other reason You don't know why you are taking this course",Career interests and aspirations
306,S2MOSTIMP2013,0.002959598673124811,Which of these activities do your parents think is most important for you to do in the fall of 2013? 1=Continuing your education after high school 2=Working 3=Serving in the military 4=Starting a family or taking care of your children 5=Attending high school or a GED completion course,Academic performance/preparation
307,S2ENGINEER12,0.0029550878826822484,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? An engineering course such as general engineering, robotics, aeronautical, mechanical or electrical engineering 0=No 1=Yes",Academic performance/preparation
308,S2BIO1S12,0.002946690620187982,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Biology I 0=No 1=Yes",Academic performance/preparation
309,P1SUSPEND,0.002930879620947634,"Since starting kindergarten, has [he/she] ever been suspended or expelled from school? Do not count detentions. Yes No",Behavioral/psychological factors
310,S2ALG3M12,0.0029045226674765338,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Algebra III 0=No 1=Yes,Academic performance/preparation
311,S1SCOMPETE,0.002843455331544727,"Since the beginning of the last school year (2008-2009), which of the following activities have you participated in? (Check all that apply.) Math club Math competition Math camp Math study groups or a program where you were tutored in math Science club Science competition Science camp Science study groups or a program where you were tutored in science None of these",Academic performance/preparation
312,X1POVERTY,0.0027956771767933732,"X1POVERTY indicates whether the sample member's family was at/above or below the 2008 poverty threshold, as set forth by the U.S. Census Bureau. Both family income and household size are considered when calculating whether a family is at/above or below the poverty threshold. If X1FAMINCOME or X1HHNUMBER are imputed, then the imputation flag for the poverty variables (X1POVERTY_IM) is set to 1. See https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html for further detail on 2008 poverty thresholds.",Demographic/SES controls
313,S2OTHBIOS12,0.002644872707863947,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Other biological sciences such as botany, marine biology, or zoology 0=No 1=Yes",Academic performance/preparation
314,S1SCLGSUCC,0.0026357403508212567,"Why are you taking [fall 2009 science course]? [If late December or later add: (If you are no longer taking this course, think back to the fall when you answer this question and the questions that follow.)] (Check all that apply.) You really enjoy science You like to be challenged You had no choice, it is a school requirement The school counselor suggested you take it Your parent(s) encouraged you to take it A teacher encouraged you to take it There were no other science courses offered You will need it to get into college You will need it to succeed in college You will need it for your career It was assigned to you Some other reason You don't know why you are taking this course",Career interests and aspirations
315,S1MREASLIKE,0.002634320944269928,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",Career interests and aspirations
316,S2SFAMREC,0.0025773066186477777,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... another family member encouraged you to take it? 1=Yes 0=No,Academic performance/preparation
317,X1POVERTY185,0.00250058615327067,"X1POVERTY185 indicates whether the sample member's family was at/above or below 185% of the 2008 poverty threshold, as set forth by the U.S. Census Bureau. Both family income and household size are considered when calculating whether a family is at/above or below 185% of the poverty threshold. If X1FAMINCOME or X1HHNUMBER are imputed, then the imputation flag for the poverty variables (X1POVERTY_IM) is set to 1. See https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html for further detail on 2008 poverty thresholds.",Demographic/SES controls
318,S2OTHCOMP12,0.0024588748000209377,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Other computer or information science course 0=No 1=Yes",Academic performance/preparation
319,S2PHYSS12,0.0022713506378224117,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Physical Science 0=No 1=Yes",Academic performance/preparation
320,S2HS2013,0.002215457641107998,The next series of questions are about what you are most likely to be doing in the fall of 2013. Which of the following activities do you expect to be doing at that time? Attending high school or a GED completion course 1=Yes 2=No 3=Don't Know,Academic performance/preparation
321,S2REVIEWM12,0.0022084771109589264,"What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Business, Consumer, General, Applied, Technical, Functional, or Review math 0=No 1=Yes",Academic performance/preparation
322,S2APPHYSIC12,0.002143378597610816,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Advanced Placement (AP) Physics B or C 0=No 1=Yes",Academic performance/preparation
323,P1NOOUTSCH,0.0021184851110690617,"During the last 12 months, has [your 9th-grader] participated in any of the following activities outside of school? (Check all that apply.) Music, dance, art, or theater Organized sports supervised by an adult Religious youth group or religious instruction Scouting or another group or club activity Academic instruction outside of school such as from a Saturday Academy, learning center, personal tutor or summer school program A math or science camp Another camp None of these",Academic performance/preparation
324,S2APCOMPSCI12,0.0021116427702147973,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Advanced Placement (AP) Computer Science 0=No 1=Yes",Academic performance/preparation
325,S2BIO2S12,0.002001231429499885,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Biology II 0=No 1=Yes",Academic performance/preparation
326,P1ADHD,0.0018902922467170557,"Has a doctor, health care provider, teacher, or school official ever told you that [your 9th-grader] has any of the following conditions? Attention Deficit Disorder or Attention Deficit Hyperactive Disorder, that is, ADD or ADHD Yes No",Behavioral/psychological factors
327,S1MCLUB,0.001851984966959936,"Since the beginning of the last school year (2008-2009), which of the following activities have you participated in? (Check all that apply.) Math club Math competition Math camp Math study groups or a program where you were tutored in math Science club Science competition Science camp Science study groups or a program where you were tutored in science None of these",Academic performance/preparation
328,S1MREASNOT,0.0018378656922250387,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",Career interests and aspirations
329,S1SPARENT,0.0018282460254524686,"Why are you taking [fall 2009 science course]? [If late December or later add: (If you are no longer taking this course, think back to the fall when you answer this question and the questions that follow.)] (Check all that apply.) You really enjoy science You like to be challenged You had no choice, it is a school requirement The school counselor suggested you take it Your parent(s) encouraged you to take it A teacher encouraged you to take it There were no other science courses offered You will need it to get into college You will need it to succeed in college You will need it for your career It was assigned to you Some other reason You don't know why you are taking this course",Career interests and aspirations
330,X2POVERTY,0.0016470076398409162,"X2POVERTY indicates whether the sample member's family was at/above or below the 2011 poverty threshold, as set forth by the U.S. Census Bureau. Both family income and household size are considered when calculating whether a family is at/above or below the poverty threshold. If X2FAMINCOME or X2HHNUMBER are imputed, then the imputation flag for the poverty variables (X2POVERTY_IM) is set to 2. Unit nonresponse for this composite is less than the set of F1 student nonrespondents (X2SQSTAT>7) due to inclusion of parent data for student nonrespondents and questionnaire incapables. The additional parent data are available for use with the W2PARENT weight. See https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html for further detail on 2011 poverty thresholds.",Demographic/SES controls
331,P1START,0.0015296395764039872,When do you think [he/she] will start [his/her] education after high school? Within 3 months after completing high school Within 6 months after completing high school Within one year after completing high school More than one year after completing high school,Academic performance/preparation
332,S2APENVS12,0.0015110469291869132,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Advanced Placement (AP) Environmental Science 0=No 1=Yes",Academic performance/preparation
333,P1USBORN9,0.001491033014930119,"Now we have a question about your 9th grader. Was [your 9th-grader] born in the United States, in Puerto Rico or another U.S. territory, or in another country? United States Puerto Rico or another U.S. territory Another country",Academic performance/preparation
334,S1SREASFRND,0.001349788534074606,"What are the reasons you plan to take more science courses during high school? (Check all that apply.) Taking more science courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at science You will need a lot of science courses for the type of career you want Most students who are like you take a lot of science courses You enjoy studying science Taking more science courses will be useful for getting into college Taking more science courses will be useful in college Your friends are going to take more science courses Some other reason You don't know why, you just probably will",Career interests and aspirations
335,S2STCHTHINK,0.0013218068641044011,"How much do you agree or disagree with the following statements about your teacher for [science course title]? Remember, none of your teachers or your principal will see any of the answers you provide. Your teacher... [wants/wanted] students to think, not just memorize things. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree",Academic performance/preparation
336,P1SPECIALED,0.0013207018148762974,Does [your 9th-grader] currently receive Special Educational Services? Students receiving these services often have an Individualized Education Plan (IEP). Yes No Don't know,Academic performance/preparation
337,S1ALG2M09,0.001296009058193094,"What math course(s) are you currently taking this fall? [What math course(s) were you taking in the fall (2009)?] (Check all that apply.) Algebra I including IA and IB Geometry Algebra II Trigonometry Review or Remedial Math including Basic, Business, Consumer, Functional or General math Integrated Math I Statistics or Probability Integrated Math II or above Pre-algebra Analytic Geometry Other advanced math course such as pre-calculus or calculus Other math course",Academic performance/preparation
338,S2DONTCARE,0.00129422519545864,Which of the following are reasons you [do not/did not] spend more time studying? You [do not/did not] care about earning higher grades. 1=Yes 0=No Administered To: Respondents who thought they could earn better grades by spending more time studying.,Academic performance/preparation
339,S2APCALC12,0.0012926872087484483,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Advanced Placement (AP) Calculus AB or BC 0=No 1=Yes,Academic performance/preparation
340,S2STAT12,0.0012521028720524844,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Other Statistics or Probability 0=No 1=Yes,Academic performance/preparation
341,S2INTGM312,0.0011450701376901277,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Integrated Math III or above 0=No 1=Yes,Academic performance/preparation
342,S2PHYSIC2S12,0.0011152991396800988,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Physics II 0=No 1=Yes",Academic performance/preparation
343,S1MREASFRND,0.0010580205076458884,"What are the reasons you plan to take more math courses during high school? (Check all that apply.) Taking more math courses is required to graduate Your parents will want you to Your teachers will want you to Your school counselor will want you to You are good at math You will need a lot of math courses for the type of career you want Most students who are like you take a lot of math courses You enjoy studying math Taking more math courses will be useful for getting into college Taking more math courses will be useful in college Your friends are going to take more math courses Some other reason You don't know why, you just probably will",Career interests and aspirations
344,P1CAMPMS,0.0008322836723842551,"During the last 12 months, has [your 9th-grader] participated in any of the following activities outside of school? (Check all that apply.) Music, dance, art, or theater Organized sports supervised by an adult Religious youth group or religious instruction Scouting or another group or club activity Academic instruction outside of school such as from a Saturday Academy, learning center, personal tutor or summer school program A math or science camp Another camp None of these",Academic performance/preparation
345,S1MCOMPETE,0.0008022899748284365,"Since the beginning of the last school year (2008-2009), which of the following activities have you participated in? (Check all that apply.) Math club Math competition Math camp Math study groups or a program where you were tutored in math Science club Science competition Science camp Science study groups or a program where you were tutored in science None of these",Academic performance/preparation
346,S2OTHENVS12,0.0007829915172544301,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Other earth or environmental sciences such as ecology, geology, oceanography, or meteorology 0=No 1=Yes",Academic performance/preparation
347,P1REPEATGRD,0.000739441866790272,"Since starting kindergarten, has [your 9th-grader] repeated any grades? Yes No",Academic performance/preparation
348,S2ALG1M12,0.0006906876530422651,"What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Algebra I, 1A or 1B 0=No 1=Yes",Academic performance/preparation
349,S2APSTAT12,0.0006300324454569406,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Advanced Placement (AP) Statistics 0=No 1=Yes,Academic performance/preparation
350,S2EARTHS12,0.0006193251762368747,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Earth Science 0=No 1=Yes",Academic performance/preparation
351,P1ADHDMED,0.0006135776501838571,Is [your 9th-grader] currently taking medication for ADD or ADHD? Yes No,Academic performance/preparation
352,S2IBIOS12,0.0005028768343019719,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? International Baccalaureate (IB) Biology 0=No 1=Yes",Academic performance/preparation
353,S2IBPHYSIC12,0.0003811711363741706,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? International Baccalaureate (IB) Physics 0=No 1=Yes",Academic performance/preparation
354,P1DD,0.00038004751297511784,"Has a doctor, health care provider, teacher, or school official ever told you that [your 9th-grader] has any of the following conditions? Any developmental delay that affects [his/her] ability to learn Yes No",Academic performance/preparation
355,S2GENS12,0.0003390359913737206,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? General Science 0=No 1=Yes",Academic performance/preparation
356,S2PREALGM12,0.00030433198497001925,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Pre-algebra 0=No 1=Yes,Academic performance/preparation
357,X1TXMSCR,0.0001989086687437413,The math IRT-estimated scale score is a criterion-referenced measure of achievement. The criterion is the set of skills defined by the HSLS:09 framework and represented by the 72 items in the HSLS:09 math item pool. The estimated scale score for math is an estimate of the number of items students would have answered correctly had they responded to all 72 items in the item pool. The ability estimates and item parameters derived from the IRT calibration can be used to calculate each student's probability of a correct answer for each of the items in the pool. These probabilities are summed to produce the IRT-estimated number-correct scale score. See Chapter 2 of the HSLS:09 Base-Year Data File Documentation (NCES 2011-328) for more information on the derivation of the math scale score score. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 69.9317 35.9645 17.7911,Academic performance/preparation
358,S2INTGS2S12,0.00014948837860918478,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Integrated Science II or above 0=No 1=Yes",Academic performance/preparation
359,S2INTGS1S12,0.00013897481603836138,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Integrated Science I 0=No 1=Yes",Academic performance/preparation
360,X3CLASSES_IM,0.00011050354801615918,Flag indicating whether the variable X3CLASSES was statistically imputed or not imputed.,Demographic/SES controls
361,S2INTGM212,0.0001073410239949933,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Integrated Math II 0=No 1=Yes,Academic performance/preparation
362,S2IBCHEM12,9.117342356680411e-05,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? International Baccalaureate (IB) Chemistry 0=No 1=Yes",Academic performance/preparation
363,S2OTHPHYS12,5.3057197830639264e-05,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Other physical sciences such as astronomy or electronics 0=No 1=Yes",Academic performance/preparation
364,X3T1CREDALG1,0.0,"Indicates at least one Carnegie unit in Algebra 1, which is the course SCED code(s): 02052, 02054, 02069. A Carnegie unit is equivalent to a one-year academic course taken one period a day, five days a week.",Academic performance/preparation
365,X2SESQ5_U,0.0,"This variable is the quintile of X2SES_U, weighted using the student weight (W2STUDENT). For more information on this variable, please refer to section 7.3.2.2 of the HSLS:09 F1 Data File Documentation (NCES 2014-361).",Demographic/SES controls
